score,comparative,positive,negative
7,0.2413793103448276,"{""score"":7,""comparative"":0.2413793103448276,""words"":[""good"",""hope"",""enjoy""]}","{""score"":0,""comparative"":0,""words"":[]}"
-2,-0.13333333333333336,"{""score"":1,""comparative"":0.06666666666666667,""words"":[""cool""]}","{""score"":3,""comparative"":0.2,""words"":[""sucks""]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
1,0.05555555555555555,"{""score"":1,""comparative"":0.05555555555555555,""words"":[""feeling""]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
-5,-0.18518518518518517,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":5,""comparative"":0.18518518518518517,""words"":[""corpse"",""fuck""]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
-2,-0.07142857142857142,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":2,""comparative"":0.07142857142857142,""words"":[""speculative""]}"
3,0.0967741935483871,"{""score"":3,""comparative"":0.0967741935483871,""words"":[""happy""]}","{""score"":0,""comparative"":0,""words"":[]}"
2,0.16666666666666669,"{""score"":3,""comparative"":0.25,""words"":[""lol""]}","{""score"":1,""comparative"":0.08333333333333333,""words"":[""hard""]}"
2,0.1111111111111111,"{""score"":2,""comparative"":0.1111111111111111,""words"":[""true""]}","{""score"":0,""comparative"":0,""words"":[]}"
3,0.09090909090909091,"{""score"":3,""comparative"":0.09090909090909091,""words"":[""best""]}","{""score"":0,""comparative"":0,""words"":[]}"
1,0.05555555555555555,"{""score"":1,""comparative"":0.05555555555555555,""words"":[""god""]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
-1,-0.045454545454545456,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":1,""comparative"":0.045454545454545456,""words"":[""postponed""]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
-1,-0.029411764705882353,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":1,""comparative"":0.029411764705882353,""words"":[""gun""]}"
2,0.06666666666666668,"{""score"":3,""comparative"":0.1,""words"":[""appreciate"",""share""]}","{""score"":1,""comparative"":0.03333333333333333,""words"":[""no""]}"
1,0.016666666666666666,"{""score"":1,""comparative"":0.016666666666666666,""words"":[""pretty""]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
2,0.06451612903225806,"{""score"":4,""comparative"":0.12903225806451613,""words"":[""top"",""wealthy""]}","{""score"":2,""comparative"":0.06451612903225806,""words"":[""struggle""]}"
-4,-0.5,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":4,""comparative"":0.5,""words"":[""fucking""]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
-5,-0.125,"{""score"":1,""comparative"":0.025,""words"":[""cool""]}","{""score"":6,""comparative"":0.15,""words"":[""fight"",""bitch""]}"
-2,-0.2857142857142857,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":2,""comparative"":0.2857142857142857,""words"":[""death""]}"
1,0.05263157894736842,"{""score"":1,""comparative"":0.05263157894736842,""words"":[""straight""]}","{""score"":0,""comparative"":0,""words"":[]}"
1,0.03225806451612903,"{""score"":1,""comparative"":0.03225806451612903,""words"":[""united""]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
4,0.10810810810810811,"{""score"":4,""comparative"":0.10810810810810811,""words"":[""big"",""love""]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":2,""comparative"":0.0625,""words"":[""help""]}","{""score"":2,""comparative"":0.0625,""words"":[""chaos""]}"
1,0.1,"{""score"":1,""comparative"":0.1,""words"":[""yes""]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
-4,-0.13333333333333336,"{""score"":2,""comparative"":0.06666666666666667,""words"":[""solidarity""]}","{""score"":6,""comparative"":0.2,""words"":[""victims"",""bad""]}"
-4,-0.125,"{""score"":2,""comparative"":0.0625,""words"":[""care""]}","{""score"":6,""comparative"":0.1875,""words"":[""hell"",""indifference""]}"
2,0.06666666666666667,"{""score"":2,""comparative"":0.06666666666666667,""words"":[""like""]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
1,0.029411764705882353,"{""score"":2,""comparative"":0.058823529411764705,""words"":[""liked""]}","{""score"":1,""comparative"":0.029411764705882353,""words"":[""no""]}"
1,0.030303030303030304,"{""score"":2,""comparative"":0.06060606060606061,""words"":[""jesus"",""pray""]}","{""score"":1,""comparative"":0.030303030303030304,""words"":[""fight""]}"
-6,-0.15789473684210525,"{""score"":1,""comparative"":0.02631578947368421,""words"":[""validate""]}","{""score"":7,""comparative"":0.18421052631578946,""words"":[""dead"",""dick""]}"
-2,-0.05555555555555555,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":2,""comparative"":0.05555555555555555,""words"":[""stupid""]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
3,0.75,"{""score"":3,""comparative"":0.75,""words"":[""good""]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
-1,-0.08333333333333333,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":1,""comparative"":0.08333333333333333,""words"":[""no""]}"
3,0.1875,"{""score"":3,""comparative"":0.1875,""words"":[""joy""]}","{""score"":0,""comparative"":0,""words"":[]}"
